ts,Time,Day,Hour,Shift 1,Shift 2,Shift 3,Anyshift
493,3/6/2020 3:15,6,3,0,0,0,0
494,3/6/2020 3:30,6,3,0,0,0,0
495,3/6/2020 3:45,6,3,0,0,0,0
496,3/6/2020 4:00,6,4,0,0,0,0
497,3/6/2020 4:15,6,4,0,0,0,0
498,3/6/2020 4:30,6,4,0,0,0,0
499,3/6/2020 4:45,6,4,0,0,0,0
500,3/6/2020 5:00,6,5,0,0,0,0
501,3/6/2020 5:15,6,5,0,0,0,0
502,3/6/2020 5:30,6,5,0,0,0,0
503,3/6/2020 5:45,6,5,0,0,0,0
504,3/6/2020 6:00,6,6,0,0,0,0
505,3/6/2020 6:15,6,6,0,0,0,0
506,3/6/2020 6:30,6,6,0,0,0,0
507,3/6/2020 6:45,6,6,0,0,0,0
508,3/6/2020 7:00,6,7,0,0,0,0
509,3/6/2020 7:15,6,7,0,0,0,0
510,3/6/2020 7:30,6,7,0,0,0,0
511,3/6/2020 7:45,6,7,0,0,0,0
512,3/6/2020 8:00,6,8,1,0,0,1
513,3/6/2020 8:15,6,8,1,0,0,1
514,3/6/2020 8:30,6,8,1,0,0,1
515,3/6/2020 8:45,6,8,1,0,0,1
516,3/6/2020 9:00,6,9,1,0,0,1
517,3/6/2020 9:15,6,9,1,0,0,1
518,3/6/2020 9:30,6,9,1,0,0,1
519,3/6/2020 9:45,6,9,1,0,0,1
520,3/6/2020 10:00,6,10,1,0,0,1
521,3/6/2020 10:15,6,10,1,0,0,1
522,3/6/2020 10:30,6,10,1,0,0,1
523,3/6/2020 10:45,6,10,1,0,0,1
524,3/6/2020 11:00,6,11,1,0,0,1
525,3/6/2020 11:15,6,11,1,0,0,1
526,3/6/2020 11:30,6,11,1,0,0,1
527,3/6/2020 11:45,6,11,1,0,0,1
528,3/6/2020 12:00,6,12,1,0,0,1
529,3/6/2020 12:15,6,12,1,0,0,1
530,3/6/2020 12:30,6,12,1,0,0,1
531,3/6/2020 12:45,6,12,1,0,0,1
532,3/6/2020 13:00,6,13,1,0,0,1
533,3/6/2020 13:15,6,13,1,0,0,1
534,3/6/2020 13:30,6,13,1,0,0,1
535,3/6/2020 13:45,6,13,1,0,0,1
536,3/6/2020 14:00,6,14,1,0,0,1
537,3/6/2020 14:15,6,14,1,0,0,1
538,3/6/2020 14:30,6,14,1,0,0,1
539,3/6/2020 14:45,6,14,1,0,0,1
540,3/6/2020 15:00,6,15,1,0,0,1
541,3/6/2020 15:15,6,15,1,0,0,1
542,3/6/2020 15:30,6,15,1,0,0,1
543,3/6/2020 15:45,6,15,1,0,0,1
544,3/6/2020 16:00,6,16,1,0,0,1
545,3/6/2020 16:15,6,16,1,0,0,1
546,3/6/2020 16:30,6,16,1,0,0,1
547,3/6/2020 16:45,6,16,1,0,0,1
548,3/6/2020 17:00,6,17,0,0,0,0
